Instância, Algortimo, Passos, Tempo, Memória Máxima, Nós Expandidos, Fator de Ramificação
1204568791031213141115, A_STAR_H1, 14, 0.00500, 260, 239, 2.08
1204568791031213141115, A_STAR_H2, 14, 0.00200, 78, 69, 2.12
1204568791031213141115, BIDIRECTIONAL_H1, 14, 0.00900, 438, 382, 2.14
1204568791031213141115, BIDIRECTIONAL_H2, 14, 0.00500, 144, 128, 2.11

1234507814910121361115, BFS, 16, 5.66049, 297935, 313319, 1.95
1234507814910121361115, IDS, 16, 2.58458, 33, 382447, 3.13
1234507814910121361115, A_STAR_H1, 16, 0.01400, 848, 754, 2.12
1234507814910121361115, A_STAR_H2, 16, 0.00700, 197, 178, 2.10
1234507814910121361115, BIDIRECTIONAL_H1, 16, 0.01900, 1016, 884, 2.15
1234507814910121361115, BIDIRECTIONAL_H2, 16, 0.01000, 282, 256, 2.09

1207568493101213141115, BFS, 16, 4.74407, 274673, 288398, 1.95
1207568493101213141115, IDS, 16, 1.58336, 31, 232685, 3.13
1207568493101213141115, A_STAR_H1, 16, 0.01100, 575, 537, 2.07
1207568493101213141115, A_STAR_H2, 16, 0.00300, 103, 88, 2.16
1207568493101213141115, BIDIRECTIONAL_H1, 16, 0.01300, 682, 614, 2.11
1207568493101213141115, BIDIRECTIONAL_H2, 16, 0.00800, 193, 166, 2.15

5134278120911151361014, BFS, 16, 4.72819, 263193, 275436, 1.96
5134278120911151361014, IDS, 16, 1.87142, 33, 256058, 3.13
5134278120911151361014, A_STAR_H1, 16, 0.00200, 121, 97, 2.24
5134278120911151361014, A_STAR_H2, 16, 0.00100, 21, 16, 2.25
5134278120911151361014, BIDIRECTIONAL_H1, 18, 0.00100, 52, 38, 2.32
5134278120911151361014, BIDIRECTIONAL_H2, 16, 0.00200, 30, 24, 2.17

5134907813215111410612, BFS, 16, 4.28997, 229052, 239842, 1.96
5134907813215111410612, IDS, 16, 3.40277, 33, 503183, 3.13
5134907813215111410612, A_STAR_H1, 16, 0.00400, 238, 225, 2.05
5134907813215111410612, A_STAR_H2, 16, 0.00100, 39, 31, 2.23
5134907813215111410612, BIDIRECTIONAL_H1, 16, 0.00500, 231, 206, 2.11
5134907813215111410612, BIDIRECTIONAL_H2, 16, 0.00100, 50, 42, 2.14

0134527810691114131512, BFS, 18, 12.30878, 663838, 708810, 1.94
0134527810691114131512, IDS, 18, 8.08988, 34, 1124499, 3.13
0134527810691114131512, A_STAR_H1, 18, 0.01800, 876, 852, 2.03
0134527810691114131512, A_STAR_H2, 18, 0.00600, 191, 178, 2.07
0134527810691114131512, BIDIRECTIONAL_H1, 18, 0.02100, 1005, 962, 2.04
0134527810691114131512, BIDIRECTIONAL_H2, 18, 0.01300, 364, 332, 2.09

2348516129107111301415, BFS, 18, 13.87512, 696593, 743930, 1.94
2348516129107111301415, IDS, 18, 9.99921, 34, 1406639, 3.13
2348516129107111301415, A_STAR_H1, 18, 0.02200, 1107, 1064, 2.04
2348516129107111301415, A_STAR_H2, 18, 0.01100, 266, 242, 2.10
2348516129107111301415, BIDIRECTIONAL_H1, 18, 0.04001, 2036, 1872, 2.09
2348516129107111301415, BIDIRECTIONAL_H2, 18, 0.01600, 427, 390, 2.09

1283671140510159131214, BFS, 18, 19.44628, 1038226, 1118504, 1.93
1283671140510159131214, IDS, 18, 7.00622, 37, 1007369, 3.13
1283671140510159131214, A_STAR_H1, 18, 0.00700, 396, 360, 2.10
1283671140510159131214, A_STAR_H2, 18, 0.00200, 46, 41, 2.10
1283671140510159131214, BIDIRECTIONAL_H1, 20, 0.00600, 347, 290, 2.19
1283671140510159131214, BIDIRECTIONAL_H2, 18, 0.00200, 40, 32, 2.19

1234139705610814151211, BFS, 18, 14.42045, 698721, 745749, 1.94
1234139705610814151211, IDS, 18, 12.57549, 36, 1746243, 3.13
1234139705610814151211, A_STAR_H1, 18, 0.01500, 833, 777, 2.07
1234139705610814151211, A_STAR_H2, 18, 0.00300, 88, 77, 2.13
1234139705610814151211, BIDIRECTIONAL_H1, 18, 0.01700, 880, 788, 2.11
1234139705610814151211, BIDIRECTIONAL_H2, 18, 0.00500, 161, 136, 2.17

1310452158970121314611, BFS, 20, 55.59956, 2560790, 2826117, 1.91
1310452158970121314611, IDS, 20, 73.96683, 39, 9930475, 3.13
1310452158970121314611, A_STAR_H1, 20, 0.11403, 6346, 5747, 2.10
1310452158970121314611, A_STAR_H2, 20, 0.01300, 361, 332, 2.08
1310452158970121314611, BIDIRECTIONAL_H1, 20, 0.03901, 1768, 1552, 2.14
1310452158970121314611, BIDIRECTIONAL_H2, 20, 0.01300, 366, 338, 2.08

0234116157110148591312, BFS, 22, 186.01838, 9127011, 10375525, 1.88
0234116157110148591312, IDS, 22, 157.87149, 42, 20789972, 3.13
0234116157110148591312, A_STAR_H1, 22, 0.08102, 4190, 4198, 2.00
0234116157110148591312, A_STAR_H2, 22, 0.00400, 75, 65, 2.14
0234116157110148591312, BIDIRECTIONAL_H1, 30, 0.11002, 5354, 5208, 2.03
0234116157110148591312, BIDIRECTIONAL_H2, 22, 0.00400, 118, 108, 2.07

0273115541361181091412, A_STAR_H1, 24, 0.18704, 8913, 9073, 1.98
0273115541361181091412, A_STAR_H2, 24, 0.00800, 213, 204, 2.04
0273115541361181091412, BIDIRECTIONAL_H1, 26, 0.05201, 2648, 2512, 2.05
0273115541361181091412, BIDIRECTIONAL_H2, 24, 0.01400, 387, 374, 2.03

1234671181510014591213, A_STAR_H1, 24, 0.89161, 38651, 38753, 2.00
1234671181510014591213, A_STAR_H2, 24, 0.01400, 340, 346, 1.98
1234671181510014591213, BIDIRECTIONAL_H1, 26, 0.24106, 5921, 5574, 2.06
1234671181510014591213, BIDIRECTIONAL_H2, 24, 0.00800, 203, 192, 2.05

5148261201393151014711, A_STAR_H1, 24, 0.15504, 7539, 7312, 2.03
5148261201393151014711, A_STAR_H2, 24, 0.00500, 122, 119, 2.02
5148261201393151014711, BIDIRECTIONAL_H1, 24, 0.02001, 1066, 1024, 2.04
5148261201393151014711, BIDIRECTIONAL_H2, 24, 0.00700, 161, 146, 2.09

1376951511021241310148, A_STAR_H1, 24, 0.27706, 13969, 13230, 2.06
1376951511021241310148, A_STAR_H2, 24, 0.00300, 79, 72, 2.08
1376951511021241310148, BIDIRECTIONAL_H1, 24, 0.06902, 3788, 3352, 2.13
1376951511021241310148, BIDIRECTIONAL_H2, 24, 0.00700, 161, 140, 2.14

0734162115131581091412, A_STAR_H1, 24, 0.43310, 20643, 20082, 2.03
0734162115131581091412, A_STAR_H2, 24, 0.02301, 642, 597, 2.07
0734162115131581091412, BIDIRECTIONAL_H1, 24, 0.19504, 6880, 6560, 2.05
0734162115131581091412, BIDIRECTIONAL_H2, 24, 0.03401, 813, 750, 2.08

0164253810157111314912, A_STAR_H1, 26, 1.98045, 75270, 76907, 1.98
0164253810157111314912, A_STAR_H2, 26, 0.07402, 2025, 2008, 2.01
0164253810157111314912, BIDIRECTIONAL_H1, 26, 0.41109, 6167, 5808, 2.06
0164253810157111314912, BIDIRECTIONAL_H2, 26, 0.02801, 711, 672, 2.06

0973126410131185141512, A_STAR_H1, 28, 4.37760, 149779, 159841, 1.94
0973126410131185141512, A_STAR_H2, 28, 0.76717, 3775, 3919, 1.96
0973126410131185141512, BIDIRECTIONAL_H1, 32, 0.23105, 11165, 11046, 2.01
0973126410131185141512, BIDIRECTIONAL_H2, 28, 0.08402, 2171, 2166, 2.00

2513910481215611137140, A_STAR_H1, 30, 10.31634, 331533, 345054, 1.96
2513910481215611137140, A_STAR_H2, 30, 0.05401, 1465, 1397, 2.05
2513910481215611137140, BIDIRECTIONAL_H1, 30, 2.43355, 44621, 43280, 2.03
2513910481215611137140, BIDIRECTIONAL_H2, 30, 0.05401, 1445, 1384, 2.04

0748151411921210133615, A_STAR_H1, 32, 54.24746, 1594617, 1676668, 1.95
0748151411921210133615, A_STAR_H2, 32, 0.26506, 7445, 7199, 2.03
0748151411921210133615, BIDIRECTIONAL_H1, 34, 2.07347, 97244, 94030, 2.03
0748151411921210133615, BIDIRECTIONAL_H2, 36, 0.12403, 3325, 3100, 2.07

2514391124011710613815, A_STAR_H2, 34, 0.10102, 2789, 2792, 2.00
2514391124011710613815, BIDIRECTIONAL_H2, 34, 0.06101, 1592, 1584, 2.00

2347851512160139101411, A_STAR_H2, 38, 6.99458, 148292, 162692, 1.91
2347851512160139101411, BIDIRECTIONAL_H2, 40, 0.24406, 6519, 6312, 2.03

9573102151411126138104, A_STAR_H2, 38, 1.83942, 42901, 45281, 1.95
9573102151411126138104, BIDIRECTIONAL_H2, 42, 0.29607, 7531, 7368, 2.02

2538104121501161471913, A_STAR_H2, 40, 0.28506, 7478, 7940, 1.94
2538104121501161471913, BIDIRECTIONAL_H2, 40, 0.06601, 1732, 1742, 1.99

6941178510313151221140, A_STAR_H2, 42, 0.09402, 2606, 2640, 1.99
6941178510313151221140, BIDIRECTIONAL_H2, 44, 0.11703, 2748, 2822, 1.97

9263511181312107140154, A_STAR_H2, 38, 16.06291, 315235, 356103, 1.89
9263511181312107140154, BIDIRECTIONAL_H2, 40, 0.84219, 21151, 21542, 1.98
